Sno,ProductID,OrderDate,DeliveryDate,Quantity,Price,Supplier,Location
1,P1171,01-01-2022,05-01-2022,3,7859,Vendor41,Ahmedabad
2,P1048,12-11-2023,16-11-2023,2,6674,Vendor95,Hyderabad
3,P1052,02-03-2023,06-03-2023,4,2248,Vendor6,Hyderabad
4,P338,28-10-2022,01-11-2022,3,2660,Vendor95,Hyderabad
5,P1886,06-03-2023,10-03-2023,5,9281,Vendor10,Delhi
6,P1606,15-06-2023,19-06-2023,5,3650,Vendor41,Chennai
7,P735,01-06-2023,05-06-2023,2,9260,Vendor25,Mumbai
8,P490,26-08-2022,30-08-2022,4,254,Vendor23,Ahmedabad
9,P774,23-04-2023,27-04-2023,1,7831,Vendor4,Delhi
10,P1093,27-11-2022,01-12-2022,1,1590,Vendor6,Mumbai
11,P239,23-10-2023,27-10-2023,2,7049,Vendor63,Chennai
12,P96,08-03-2022,12-03-2022,5,1858,Vendor29,Hyderabad
13,P288,18-04-2023,22-04-2023,1,6586,Vendor81,Hyderabad
14,P965,11-01-2022,15-01-2022,3,511,Vendor51,Hyderabad
15,P537,25-05-2022,29-05-2022,4,6255,Vendor65,Mumbai
16,P447,29-11-2022,03-12-2022,1,646,Vendor11,Delhi
17,P1537,29-11-2022,03-12-2022,3,852,Vendor19,Chennai
18,P455,12-02-2023,16-02-2023,1,8654,Vendor13,Mumbai
19,P117,15-02-2023,19-02-2023,2,9104,Vendor34,Ahmedabad
20,P701,24-08-2023,28-08-2023,3,4995,Vendor75,Bangalore
21,P1032,08-04-2023,12-04-2023,1,1893,Vendor100,Hyderabad
22,P30,06-03-2023,10-03-2023,3,7329,Vendor82,Hyderabad
23,P1482,20-09-2022,24-09-2022,4,4666,Vendor13,Vishakapatnam
24,P483,25-09-2022,29-09-2022,3,8708,Vendor50,Delhi
25,P153,01-10-2022,05-10-2022,3,2149,Vendor33,Hyderabad
26,P255,18-06-2023,22-06-2023,2,9111,Vendor61,Cochin
27,P62,26-01-2022,30-01-2022,4,9378,Vendor48,Cochin
28,P1360,02-07-2022,06-07-2022,4,2199,Vendor26,Delhi
29,P1456,28-10-2023,01-11-2023,2,4727,Vendor16,Bhopal
30,P1559,27-07-2022,31-07-2022,3,1211,Vendor86,Hyderabad
31,P617,18-10-2022,22-10-2022,2,7925,Vendor46,Vishakapatnam
32,P1511,09-09-2023,13-09-2023,4,910,Vendor53,Bangalore
33,P1933,25-09-2022,29-09-2022,5,285,Vendor70,Hyderabad
34,P1485,10-02-2023,14-02-2023,3,4825,Vendor97,Vishakapatnam
35,P532,13-03-2022,17-03-2022,4,7895,Vendor24,Ahmedabad
36,P540,30-08-2023,03-09-2023,1,3448,Vendor8,Hyderabad
37,P1269,07-06-2023,11-06-2023,3,9145,Vendor38,Cochin
38,P1383,23-06-2023,27-06-2023,4,5180,Vendor5,Bangalore
39,P431,20-03-2023,24-03-2023,3,7552,Vendor61,Hyderabad
40,P1811,22-12-2021,26-12-2021,3,9843,Vendor70,Bhopal
41,P32,23-10-2023,27-10-2023,2,2147,Vendor95,Hyderabad
42,P488,21-07-2023,25-07-2023,4,8359,Vendor14,Bangalore
43,P873,12-06-2023,16-06-2023,2,1865,Vendor69,Vishakapatnam
44,P1978,31-12-2021,04-01-2022,2,7037,Vendor86,Delhi
45,P1420,14-06-2022,18-06-2022,4,4339,Vendor19,Chennai
46,P1056,02-03-2023,06-03-2023,5,2786,Vendor98,Chennai
47,P1761,03-01-2023,07-01-2023,2,8016,Vendor78,Hyderabad
48,P1773,17-05-2022,21-05-2022,2,5734,Vendor91,Hyderabad
49,P1601,19-04-2023,23-04-2023,1,7447,Vendor63,Bhopal
50,P1344,21-11-2022,25-11-2022,5,9857,Vendor64,Vishakapatnam
51,P1158,12-10-2023,16-10-2023,5,8708,Vendor77,Mumbai
52,P1395,28-02-2023,04-03-2023,5,1820,Vendor15,Hyderabad
53,P1664,17-04-2023,21-04-2023,1,6895,Vendor64,Hyderabad
54,P852,20-07-2022,24-07-2022,1,1292,Vendor82,Cochin
55,P744,31-05-2022,04-06-2022,1,2875,Vendor11,Mumbai
56,P841,17-07-2022,21-07-2022,3,8336,Vendor57,Vishakapatnam
57,P794,20-02-2023,24-02-2023,5,1550,Vendor28,Hyderabad
58,P1736,02-03-2022,06-03-2022,1,4404,Vendor78,Hyderabad
59,P406,08-03-2022,12-03-2022,2,7949,Vendor74,Delhi
60,P515,21-07-2023,25-07-2023,1,9836,Vendor25,Ahmedabad
61,P1471,11-06-2023,15-06-2023,2,5818,Vendor48,Bangalore
62,P1701,09-09-2023,13-09-2023,5,5886,Vendor82,Mumbai
63,P1601,16-01-2023,20-01-2023,4,5693,Vendor53,Hyderabad
64,P1204,30-03-2023,03-04-2023,1,2389,Vendor88,Vishakapatnam
65,P186,12-05-2022,16-05-2022,2,3936,Vendor10,Delhi
66,P652,14-09-2023,18-09-2023,4,4907,Vendor88,Chennai
67,P1995,25-07-2023,29-07-2023,4,2631,Vendor22,Ahmedabad
68,P1200,21-09-2023,25-09-2023,3,6183,Vendor85,Bangalore
69,P1913,15-06-2022,19-06-2022,4,230,Vendor50,Mumbai
70,P655,14-11-2023,18-11-2023,5,2319,Vendor96,Delhi
71,P469,22-04-2022,26-04-2022,1,6460,Vendor61,Bhopal
72,P1439,19-04-2022,23-04-2022,5,1545,Vendor41,Delhi
73,P686,22-04-2022,26-04-2022,5,5688,Vendor23,Delhi
74,P807,10-12-2022,14-12-2022,2,4603,Vendor24,Chennai
75,P1765,27-01-2022,31-01-2022,3,93,Vendor18,Ahmedabad
76,P1401,27-01-2023,31-01-2023,2,5040,Vendor34,Bhopal
77,P1153,22-10-2022,26-10-2022,4,176,Vendor6,Hyderabad
78,P1135,26-10-2022,30-10-2022,4,6514,Vendor43,Bangalore
79,P737,05-12-2022,09-12-2022,4,4201,Vendor22,Vishakapatnam
80,P66,08-07-2022,12-07-2022,2,4151,Vendor70,Hyderabad
81,P1633,06-02-2022,10-02-2022,1,7022,Vendor24,Mumbai
82,P1150,25-01-2022,29-01-2022,1,59,Vendor95,Hyderabad
