Sno,ProductID,OrderDate,DeliveryDate,Quantity,Price,Supplier,Location
1,P849,26-03-2023,30-03-2023,4,1143,Vendor16,Warehouse8
2,P1333,27-05-2022,31-05-2022,1,3273,Vendor63,Warehouse8
3,P309,02-01-2022,06-01-2022,2,6488,Vendor73,Warehouse8
4,P1837,15-04-2022,19-04-2022,3,5709,Vendor91,Warehouse6
5,P469,07-07-2022,11-07-2022,5,7765,Vendor91,Warehouse5
6,P1880,25-02-2022,01-03-2022,3,8907,Vendor11,Warehouse7
7,P855,18-12-2021,22-12-2021,2,3786,Vendor99,Warehouse2
8,P1110,23-08-2022,27-08-2022,1,7201,Vendor33,Warehouse8
9,P788,06-11-2022,10-11-2022,4,9681,Vendor22,Warehouse7
10,P112,20-02-2022,24-02-2022,3,5077,Vendor41,Warehouse10
11,P920,13-05-2022,17-05-2022,2,3744,Vendor38,Warehouse10
12,P129,20-03-2023,24-03-2023,5,8483,Vendor9,Warehouse5
13,P535,16-01-2022,20-01-2022,5,1467,Vendor56,Warehouse1
14,P413,16-01-2023,20-01-2023,5,2545,Vendor22,Warehouse2
15,P481,09-11-2023,13-11-2023,1,8419,Vendor17,Warehouse4
16,P1784,21-11-2021,25-11-2021,1,2613,Vendor41,Warehouse6
17,P953,03-12-2021,07-12-2021,4,241,Vendor43,Warehouse3
18,P44,12-10-2022,16-10-2022,1,3877,Vendor87,Warehouse8
19,P1581,17-06-2023,21-06-2023,2,3432,Vendor91,Warehouse6
20,P161,30-10-2023,03-11-2023,5,6981,Vendor88,Warehouse5
21,P191,25-11-2021,29-11-2021,4,9847,Vendor17,Warehouse3
22,P796,16-06-2023,20-06-2023,3,604,Vendor42,Warehouse6
23,P84,05-10-2022,09-10-2022,1,4655,Vendor69,Warehouse7
24,P1478,16-09-2022,20-09-2022,5,7821,Vendor50,Warehouse5
25,P1473,10-10-2023,14-10-2023,1,3181,Vendor88,Warehouse1
26,P392,24-10-2022,28-10-2022,4,2336,Vendor32,Warehouse9
27,P966,03-08-2023,07-08-2023,4,1970,Vendor16,Warehouse3
28,P1947,15-09-2023,19-09-2023,3,5116,Vendor38,Warehouse6
29,P1090,02-06-2023,06-06-2023,4,244,Vendor37,Warehouse2
30,P590,27-10-2022,31-10-2022,2,3977,Vendor87,Warehouse4
31,P40,23-08-2023,27-08-2023,1,5140,Vendor6,Warehouse3
32,P1652,03-08-2023,07-08-2023,4,5996,Vendor67,Warehouse8
33,P1419,06-06-2023,10-06-2023,4,8551,Vendor24,Warehouse7
34,P238,19-11-2023,23-11-2023,2,4658,Vendor57,Warehouse8
35,P1456,19-03-2022,23-03-2022,5,7983,Vendor89,Warehouse4
36,P1017,25-06-2023,29-06-2023,1,6019,Vendor94,Warehouse6
37,P1752,09-06-2023,13-06-2023,3,514,Vendor42,Warehouse10
38,P620,20-11-2021,24-11-2021,2,3854,Vendor66,Warehouse4
39,P895,11-06-2023,15-06-2023,3,1413,Vendor36,Warehouse9
40,P374,03-03-2023,07-03-2023,3,9969,Vendor43,Warehouse3
